timestamp_s,gt_x_m,gt_y_m,is_gnss_blackout,tracksense_ai+ekf_pipeline_x_m,tracksense_ai+ekf_pipeline_y_m,tracksense_ai+ekf_pipeline_error_m,naive_dead_reckoning_uncorrected_imu_x_m,naive_dead_reckoning_uncorrected_imu_y_m,naive_dead_reckoning_uncorrected_imu_error_m,frozen_gnss_baseline_standard_app_x_m,frozen_gnss_baseline_standard_app_y_m,frozen_gnss_baseline_standard_app_error_m
0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1000555864369094,1.7279598876152993,0.07504166165575808,False,1.7279598876152993,0.07504166165575808,0.0,1.7279598876152993,0.07504166165575808,0.0,1.7279598876152993,0.07504166165575808,0.0
0.2001111728738188,3.4559192343308163,0.15008315428004856,False,3.4559192343308163,0.15008315428004856,0.0,3.4559192343308163,0.15008315428004856,0.0,3.4559192343308163,0.15008315428004856,0.0
0.3001667593107282,5.183877499251642,0.22512430884178458,False,5.183877499251642,0.22512430884178458,0.0,5.183877499251642,0.22512430884178458,0.0,5.183877499251642,0.22512430884178458,0.0
0.4002223457476376,6.911834141492613,0.3001649563106408,False,6.911834141492613,0.3001649563106408,0.0,6.911834141492613,0.3001649563106408,0.0,6.911834141492613,0.3001649563106408,0.0
0.500277932184547,8.639788620183188,0.3752049276574339,False,8.639788620183188,0.3752049276574339,0.0,8.639788620183188,0.3752049276574339,0.0,8.639788620183188,0.3752049276574339,0.0
0.6003335186214565,10.367740394472321,0.4502440538545041,False,10.367740394472321,0.4502440538545041,0.0,10.367740394472321,0.4502440538545041,0.0,10.367740394472321,0.4502440538545041,0.0
0.7003891050583658,12.09568892353333,0.5252821658760944,False,12.09568892353333,0.5252821658760944,0.0,12.09568892353333,0.5252821658760944,0.0,12.09568892353333,0.5252821658760944,0.0
0.8004446914952752,13.823633666568771,0.6003190946987331,False,13.823633666568771,0.6003190946987331,0.0,13.823633666568771,0.6003190946987331,0.0,13.823633666568771,0.6003190946987331,0.0
0.9005002779321846,15.551574082815312,0.6753546713016132,False,15.551574082815312,0.6753546713016132,0.0,15.551574082815312,0.6753546713016132,0.0,15.551574082815312,0.6753546713016132,0.0
